labeller_id,qa_id,story_name,section_id,section,source,split,question,answer,readability,relevancy_q,relevancy_a,readability_new,relevancy_q_new,relevancy_a_new,diff_readability,diff_relevancy_q,diff_relevancy_a
4,2,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",PAQ,test,who thought the most bewitching maiden ever was seen?,her mother.,2,5,5,5,5,5,3,0,0
0,5,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",Ours,test,where did the man and his wife live?,a forest.,5,5,5,5,5,2,0,0,3
0,11,enchanted-wreath,1,"one day the man called to his daughter and bade her come with him into the forest to cut wood. they worked hard all day, but in spite of the chopping they were very cold, for it rained heavily, and when they returned home, they were wet through. then, to his vexation, the man found that he had left his axe behind him, and he knew that if it lay all night in the mud it would become rusty and useless. so he said to his wife:'i have dropped my axe in the forest, bid your daughter go and fetch it, for mine has worked hard all day and is both wet and weary.' .",PAQ,test,what did val say he dropped in the forest?,axe.,3,5,5,4,5,2,1,0,3
0,18,enchanted-wreath,2,"but the wife answered:'if your daughter is wet already, it is all the more reason that she should go and get the axe. besides, she is a great strong girl, and a little rain will not hurt her, while my daughter would be sure to catch a bad cold.'by long experience the man knew there was no good saying any more, and with a sigh he told the poor girl she must return to the forest for the axe .",PAQ,test,what did val say would not hurt him?,rain.,3,5,5,3,2,3,0,3,2
0,21,enchanted-wreath,2,"but the wife answered:'if your daughter is wet already, it is all the more reason that she should go and get the axe. besides, she is a great strong girl, and a little rain will not hurt her, while my daughter would be sure to catch a bad cold.'by long experience the man knew there was no good saying any more, and with a sigh he told the poor girl she must return to the forest for the axe .",Ours,test,who was the daughter?,a great strong girl.,5,3,5,5,2,2,0,1,3
4,145,the-sea-king-gift,18,"all good things go in threes, so matte and his wife fished for salmon inspring, for herring in summer, and for cod in winter. when on saturdaysthe weather was fine and the wind favourable, they sailed to the nearesttown, sold their fish, and went to church on sunday. but it oftenhappened that for weeks at a time they were quite alone on the rockahtola, and had nothing to look at except their little yellow-brown dog,which bore the grand name of prince, their grass tufts, their bushes andblooms, the sea bays and fish, a stormy sky and the blue, white-crestedwaves. for the rock lay far away from the land, and there were nogreen islets or human habitations for miles round, only here and thereappeared a rock of the same red stone as ahtola, besprinkled day andnight with the ocean spray.matte and maie were industrious, hard-working folk, happy and contentedin their poor hut, and they thought themselves rich when they were ableto salt as many casks of fish as they required for winter and yet havesome left over with which to buy tobacco for the old man, and a pound ortwo of coffee for his wife, with plenty of burned corn and chicory in itto give it a flavour. besides that, they had bread, butter, fish, a beercask, and a buttermilk jar; what more did they require? all would havegone well had not maie been possessed with a secret longing which neverlet her rest; and this was, how she could manage to become the owner ofa cow .",PAQ,test,in what season did matte and maie believe all good things go in?,threes.,4,2,4,2,1,1,2,1,3
4,152,the-sea-king-gift,19,"what would you do with a cow?' asked matte. 'she could not swim so far,and our boat is not large enough to bring her over here; and even if wehad her, we have nothing to feed her on.''we have four alder bushes and sixteen tufts of grass,' rejoined maie.'yes, of course,' laughed matte, 'and we have also three plants ofgarlic. garlic would be fine feeding for her.''every cow likes salt herring,' rejoined his wife. 'even prince is fondof fish.''that may be,' said her husband. 'methinks she would soon be a dear cowif we had to feed her on salt herring. all very well for prince, whofights with the gulls over the last morsel. put the cow out of yourhead, mother, we are very well off as we are.' .",groundtruth,test,how did maie feel after her husband did not let her buy a cow ?,sad .,5,5,4,5,3,1,0,2,3
0,489,golden-goose,60,"there was once a man who had three sons. the youngest of them was called dullhead, and was sneered and jeered at and snubbed on every possible opportunity.one day it happened that the eldest son wished to go into the forest to cut wood, and before he started his mother gave him a fine rich cake and a bottle of wine, so that he might be sure not to suffer from hunger or thirst.when he reached the forest he met a little old grey man who wished him 'good-morning,' and said: 'do give me a piece of that cake you have got in your pocket, and let me have a draught of your wine-i am so hungry and thirsty.' .",PAQ,test,how many sons did a man have?,three.,5,5,5,3,2,3,2,3,2
0,512,golden-goose,63,"when he got to the forest, he too met the little grey old man, who greeted him and said: 'give me a piece of your cake and a draught from your bottle; i am so hungry and thirsty.'and dullhead replied: 'i've only got a cinder-cake and some sour beer, but if you care to have that, let us sit down and eat.'so they sat down, and when dullhead brought out his cake he found it had turned into a fine rich cake, and the sour beer into excellent wine. then they ate and drank, and when they had finished the little man said: 'now i will bring you luck, because you have a kind heart and are willing to share what you have with others. there stands an old tree; cut it down, and amongst its roots you'll find something.' with that the little man took leave .",PAQ,test,who said i will bring luck because i have a kind heart and are willing to share?,dullhead.,5,3,1,2,2,1,3,1,0
1,492,golden-goose,60,"there was once a man who had three sons. the youngest of them was called dullhead, and was sneered and jeered at and snubbed on every possible opportunity.one day it happened that the eldest son wished to go into the forest to cut wood, and before he started his mother gave him a fine rich cake and a bottle of wine, so that he might be sure not to suffer from hunger or thirst.when he reached the forest he met a little old grey man who wished him 'good-morning,' and said: 'do give me a piece of that cake you have got in your pocket, and let me have a draught of your wine-i am so hungry and thirsty.' .",Ours,test,where did the eldest son go to cut wood?,the forest.,5,5,5,5,4,2,0,1,3
1,501,golden-goose,61,"but this clever son replied: 'if i give you my cake and wine i shall have none left for myself; you just go your own way;' and he left the little man standing there and went further on into the forest. there he began to cut down a tree, but before long he made a false stroke with his axe, and cut his own arm so badly that he was obliged to go home and have it bound up.then the second son went to the forest, and his mother gave him a good cake and a bottle of wine as she had to his elder brother. he too met the little old grey man, who begged him for a morsel of cake and a draught of wine.but the second son spoke most sensibly too, and said: 'whatever i give to you i deprive myself of. just go your own way, will you?' not long after his punishment overtook him, for no sooner had he struck a couple of blows on a tree with his axe, than he cut his leg so badly that he had to be carried home .",Ours,test,where did the second son go?,the forest.,5,5,5,5,3,2,0,2,3
